#Silber d_Ag=0.041mm -  Magnetfeld konstant
#Stromstärke(B)     HALL_Spannung       durchfließender Strom
5                   0.0005              0
5                   -0.0207             1
5                   -0.0394             2
5                   -0.0599             3
5                   -0.0794             4
5                   -0.0991             5
5                   -0.1185             6
5                   -0.1394             7
5                   -0.1602             8
5                   -0.1821             9
5                   -0.2026             10
